Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude
0,46209,20.4872,-49.0312,215.613,222.065
1,46217,21.0824,-48.0737,215.202,221.512
2,46220,21.735,-47.0158,216.185,222.303
3,46227,22.523,-45.3662,215.204,221.084
4,46228,22.881,-44.5337,215.851,221.582
5,46229,22.9686,-44.2239,214.638,220.347
6,46234,23.3092,-43.3363,215.6,221.144
7,46237,23.6208,-42.2784,215.42,220.796
8,46244,23.9102,-41.0674,215.23,220.414
9,46245,24.1191,-39.9793,215.219,220.225
10,46254,24.282,-38.8352,215.246,220.065
11,46255,24.3791,-37.7306,215.258,219.896
12,46266,24.3893,-37.0746,215.927,220.44
13,46267,24.4327,-36.2528,215.237,219.632
14,46268,24.4217,-35.5641,214.234,218.535
15,46285,24.4221,-35.0184,215.292,219.484
16,46287,24.3615,-33.744,215.368,219.352
17,46324,24.2295,-32.3287,215.267,219.026
18,46672,19.2434,-50.7817,217.346,224.027
19,46678,19.6975,-50.1792,216.378,222.992
20,46679,20.0384,-49.7256,217.35,223.864
21,46680,20.6061,-48.8926,217.359,223.741
22,46681,20.3639,-49.2558,216.402,222.87
23,46689,21.1425,-48.0474,216.317,222.595
24,46690,21.1398,-48.0412,217.357,223.605
25,46691,21.7534,-46.9581,217.375,223.451
26,46696,22.2758,-45.9352,216.63,222.564
27,46697,22.0156,-46.339,218.31,224.257
28,46698,22.4548,-45.372,218.242,224.037
29,46699,22.8698,-44.2832,218.265,223.883
30,46700,22.7361,-44.8395,216.881,222.631
31,46705,23.5421,-42.0717,218.002,223.27
32,46706,23.4522,-42.7118,216.872,222.278
33,46707,23.1409,-43.7101,216.882,222.45
34,46708,23.2352,-43.2233,217.973,223.429
35,46713,23.8836,-40.6576,217.554,222.605
36,46714,23.74,-41.6071,216.925,222.152
37,46715,23.7817,-41.5969,216.103,221.351
38,46716,23.9938,-40.5483,216.375,221.445
39,46720,24.1627,-39.4042,216.687,221.562
40,46721,24.2982,-38.2829,216.39,221.09
41,46722,24.0157,-39.1712,218.176,222.962
42,46723,24.1712,-38.2575,217.632,222.287
43,46729,24.2914,-36.9719,217.164,221.624
44,46730,24.3827,-36.0905,216.403,220.743
45,46731,24.1716,-36.8515,218.06,222.469
46,46732,24.2269,-35.526,217.713,221.918
47,46740,24.3633,-34.7011,216.408,220.522
48,46741,24.1915,-34.4215,217.706,221.734
49,46742,24.1473,-33.4831,217.68,221.559
50,46743,24.298,-33.4785,216.414,220.332
51,46749,24.205,-32.4001,216.416,220.162
52,46750,24.0823,-32.4161,217.615,221.33
53,46751,23.9213,-31.0095,217.548,221.045
54,46752,24.0596,-31.2536,216.35,219.915
55,46767,23.8598,-30.1314,216.341,219.728
56,46768,23.6757,-29.5985,217.479,220.758
57,46769,23.5425,-28.7632,216.348,219.518
58,46794,23.4198,-28.5192,217.456,220.565
59,46795,23.1506,-27.48,216.353,219.316
60,46796,23.1183,-27.5044,217.442,220.39
61,46821,22.2441,-25.2769,217.473,220.065
62,46823,22.6991,-26.4438,217.954,220.722
63,47089,15.0661,-54.7624,220.105,227.315
64,47092,17.1831,-52.8941,220.028,226.948
65,47094,16.5483,-53.4446,220.49,227.478
66,47101,17.8219,-52.2179,220.072,226.884
67,47102,18.3966,-51.6613,219.37,226.12
68,47103,18.8218,-51.2452,218.425,225.144
69,47104,19.1811,-50.6352,219.818,226.389
70,47110,19.6405,-50.203,218.437,224.991
71,47111,19.939,-49.5296,220.194,226.575
72,47112,20.6604,-48.5508,219.599,225.849
73,47113,20.0455,-49.5744,219.069,225.501
74,47114,20.4701,-49.0314,218.359,224.731
75,47120,21.2655,-47.7299,218.45,224.613
76,47121,21.3155,-47.4421,219.548,225.624
77,47122,21.8866,-46.3476,219.486,225.391
78,47126,22.343,-45.3097,219.497,225.236
79,47127,22.7271,-44.2697,219.53,225.1
80,47132,23.1328,-43.1985,219.008,224.424
81,47133,22.9563,-43.1827,220.14,225.507
82,47134,23.2446,-41.9811,220.125,225.295
83,47135,23.4083,-42.0825,219.059,224.29
84,47140,23.6136,-40.9834,219.119,224.165
85,47141,23.7835,-40.5154,218.527,223.52
86,47142,23.5882,-39.9639,220.05,224.89
87,47143,23.3513,-40.9375,220.503,225.484
88,47151,23.8634,-39.0551,219.165,223.893
89,47152,23.677,-38.7369,220.208,224.84
90,47153,23.8485,-37.639,219.7,224.173
91,47154,24.0437,-37.5024,218.721,223.211
92,47159,24.074,-36.0459,218.689,222.943
93,47160,23.8163,-36.5574,219.959,224.245
94,47161,23.8526,-35.4748,219.743,223.863
95,47166,24.0439,-34.9509,218.719,222.796
96,47167,23.9753,-33.6542,218.739,222.608
97,47168,23.8005,-34.3948,219.764,223.709
98,47169,23.7525,-33.4815,219.798,223.598
99,47174,23.9187,-32.4286,218.687,222.368
100,47175,23.7156,-32.4178,219.771,223.411
101,47176,23.613,-31.2002,219.755,223.211
102,47177,23.8157,-31.1894,218.559,222.054
103,47183,23.589,-30.2365,219.105,222.436
104,47184,23.5189,-29.3362,218.367,221.581
105,47185,23.3246,-29.5053,219.892,223.085
106,47191,23.244,-28.4702,218.878,221.942
107,47192,23.0102,-27.4937,218.491,221.413
108,47193,23.0589,-28.5305,220.153,223.189
109,47194,22.8492,-27.4575,219.601,222.487
110,47208,22.1996,-25.3498,218.499,221.082
111,47209,22.6151,-26.501,218.952,221.706
112,47210,22.4201,-26.2213,219.611,222.305
113,47211,22.042,-25.3014,219.631,222.18
114,47233,21.7536,-24.452,218.777,221.212
115,47235,21.4425,-24.184,220.137,222.498
116,47236,21.2032,-23.5732,219.502,221.78
117,47237,20.7776,-23.0212,220.198,222.371
118,47469,14.1815,-55.2695,221.128,228.372
119,47471,13.5738,-55.4716,222.188,229.41
120,47473,12.5433,-56.1128,222.225,229.543
121,47474,14.4034,-54.9088,222.098,229.238
122,47480,15.1819,-54.4803,221.316,228.428
123,47481,15.7149,-53.788,222.365,229.317
124,47482,15.822,-54.0762,220.607,227.689
125,47483,16.2971,-53.4655,221.573,228.515
126,47484,16.6526,-52.9585,222.232,229.061
127,47485,17.311,-52.5659,221.15,227.97
128,47491,17.4176,-52.1603,222.265,228.967
129,47492,18.0922,-51.5807,221.653,228.293
